,query,engine,batch,instance,query_class,status,timeout,nb_results,nb_distinct_sources,relevant_sources_selectivity,tpwss,source_selection_time,planning_time,ask,exec_time,http_req,data_transfer,sts,exec_time_only
21033,q11,anapsid,1,0,SD,success,,9.0,1.0,0.025,2.0,0.4215854167938232,0.3283112049102783,120.0,0.3647949695587158,123.0,0.018061,success,-0.0567904472351074
21034,q11,anapsid,1,0,SD,success,,9.0,1.0,0.025,2.0,0.3756869792938232,0.2819423675537109,120.0,0.3206021785736084,123.0,0.018061,success,-0.05508480072021482
21035,q11,anapsid,1,0,SD,success,,9.0,1.0,0.025,2.0,0.36681399345397947,0.2734215259552002,120.0,0.3088486194610595,123.0,0.018061,success,-0.057965373992919955
21036,q11,fedup_h0,1,0,SD,success,,18.0,1.0,0.025,3.0,0.1,,80.0,5.0,82.0,0.055805999999999994,success,4.9
21037,q11,fedup_h0,1,0,SD,success,,18.0,1.0,0.025,3.0,1.0,,80.0,6.0,82.0,0.055805999999999994,success,5.0
21038,q11,fedup_h0,1,0,SD,success,,18.0,1.0,0.025,3.0,0.1,,80.0,4.0,82.0,0.055805999999999994,success,3.9
21039,q11,rsa,1,0,SD,success,,9.0,1.0,0.025,2.0,,,0.0,33.20646286010742,1.0,0.0029259999999999998,success,
21040,q11,rsa,1,0,SD,success,,9.0,1.0,0.025,2.0,,,0.0,35.349369049072266,1.0,0.0029259999999999998,success,
21041,q11,rsa,1,0,SD,success,,9.0,1.0,0.025,2.0,,,0.0,37.63723373413086,1.0,0.0029259999999999998,success,
21042,q11,fedx,2,0,SD,success,,9.0,1.0,0.0166666666666666,2.0,585.0,0.0,180.0,748.0,181.0,0.059694,success,163.0
21043,q11,fedx,2,0,SD,success,,9.0,1.0,0.0166666666666666,2.0,607.0,0.0,180.0,723.0,181.0,0.059694,success,116.0
21044,q11,fedx,2,0,SD,success,,9.0,1.0,0.0166666666666666,2.0,627.0,0.0,180.0,747.0,181.0,0.059694,success,120.0
21045,q11,costfed,2,0,SD,success,,9.0,1.0,0.0166666666666666,1.0,404.0,404.0,300.0,415.0,301.0,0.134758,success,11.0
21046,q11,costfed,2,0,SD,success,,9.0,1.0,0.0166666666666666,1.0,314.0,315.0,300.0,322.0,301.0,0.134758,success,8.0
21047,q11,costfed,2,0,SD,success,,9.0,1.0,0.0166666666666666,1.0,353.0,354.0,300.0,363.0,301.0,0.134758,success,10.0
21048,q11,splendid,2,0,SD,error_runtime,120000.0,,1.0,0.0166666666666666,2.0,,,0.0,,270.0,0.011876999999999999,error_runtime,
